ID,Name,Pct,Price,Description
CS,Cuvée Slovácko 2021 (Rr x Ch x Vz) suché ,"12,5%","140,-","Vůně meruněk, červených jablek a mandarinek. Chuť krásně čistá, osvěžující s elegantní citrusovou kyselinkou."
Vz,Veltlínské zelené 2021 suché ,"12,5%","140,-","Minerální vůně zeleného jablka, mandlí a koření. Lehká slin sbíhavá chuť s elegancí a jemnou hořčinkou. Víno na dlouhé popíjení."
Sz,Sylvánské zelené 2022 suché,13%,"140,-","Vůně banánů, nektarinek a ananasu. Výrazná chuť čerstvého ovoce se skvěle zakomponovanou kyselinkou."
Au,Aurélius 2022 suché ,14%,"140,-","Jemná vůně lípy, citrusů a broskví. V chuti dominuje hroznová šťáva a angrešt. Víno charakteru Ryzlinku rýnského."
Ch,Chardonnay 2020 polosuché NOVINKA,12%,"140,-","Vůně banánů, pomerančů a smetany přechází do lískových oříšků. Chuť dlouhá, plná másla a citrusového ovoce."
Fr,"Frizzante 2022 perlivé, polosuché ",13%,"150,-","Sylvánské zelené x Savilon. Vůně broskví a zralých hroznů, bohaté perlení v chuti. Doznívání vyplňuje zralé sadové ovoce. Na víno neplatí žádná slevová akce. "
F,Frankovka 2022 suché NOVINKA,13%,"140,-","Typická vůně višňové pecky, v pozadí červené ovoce. Chuť ovocná a bylinková s jemnou tříslovinou, delší doznívání."
Zw,Zweigeltrebe 2022 polosuché NOVINKA,13%,"140,-","Drobné lesní ovoce, hlavně maliny a ostružiny. Osvěžující středně plná chuť se skvělou strukturou kyselinky a zbytkového přírodního cukru."
